department,parentMinistry,category
Tanjong Pagar Town Council,Ministry of National Development ,Town Council
West Coast-Ayer Rajah Town Council,Ministry of National Development ,Town Council
Ministry of Trade & Industry ,Ministry of Trade and Industry ,Trade and Industry
"Agency for Science, Technology and Research ",Ministry of Trade and Industry ,Trade and Industry
Competition and Consumer Comission of Singapore,Ministry of Trade and Industry ,Trade and Industry
Economic Development Board ,Ministry of Trade and Industry ,Trade and Industry
Energy Market Authority ,Ministry of Trade and Industry ,Trade and Industry
Hotels Licensing Board,Ministry of Trade and Industry ,Trade and Industry
Enterprise Singapore ,Ministry of Trade and Industry ,Trade and Industry
JTC Corporation,Ministry of Trade and Industry ,Trade and Industry
Sentosa Development Corporation ,Ministry of Trade and Industry ,Trade and Industry
Singapore Tourism Board ,Ministry of Trade and Industry ,Trade and Industry
SPRING Singapore,Ministry of Trade and Industry ,Trade and Industry
Ministry of Transport ,Ministry of Transport ,Transport
Air Accident Investigation Bureau of Singapore ,Ministry of Transport ,Transport
Civil Aviation Authority of Singapore ,Ministry of Transport ,Transport
Land Transport Authority ,Ministry of Transport ,Transport
Maritime and Port Authority of Singapore ,Ministry of Transport ,Transport
Public Transport Council ,Ministry of Transport ,Transport
Prime Minister's Office ,Prime Minister's Office ,Prime Minister's Office
Civil Service College,Prime Minister's Office ,Prime Minister's Office
Monetary Authority of Singapore,Prime Minister's Office ,Prime Minister's Office
Attorney-General's Chambers ,Organs of State,Organs of State
Auditor-General's Office ,Organs of State,Organs of State
The Cabinet ,Organs of State,Organs of State
Istana,Organs of State,Organs of State
Industrial Arbitration Court ,Organs of State,Organs of State
Judiciary,Organs of State,Organs of State
Parliament of Singapore ,Organs of State,Organs of State
Public Service Commission ,Organs of State,Organs of State
"Ministry of Culture, Community and Youth ","Ministry of Culture, Community and Youth ","Culture, Community and Youth"
Singapore Sports Council,"Ministry of Culture, Community and Youth ",Sports
SINGAPORE UNIVERSITY OF SOCIAL SCIENCES,Ministry of Education ,Institute of Higher Learning
Singapore Pharmacy Council,Ministry of Health ,Health
Land Surveyors Board,Ministry of Law ,Law
Government Technology Agency,Prime Minister's Office ,Technology
National Institute of Education,Ministry of Education ,Education
Productivity Fund Administration Board,Ministry of Finance ,Finance
Centre For Public Project Management,Ministry of Finance ,Finance
Competition Commission of Singapore,Ministry of Trade and Industry ,Trade and Industry
Council for Private Education,Ministry of Education ,Education
Duke-NUS medical school,Ministry of Education ,Education
Energy Market Authority of Singapore,Ministry of Trade and Industry ,Trade and Industry
Info-Communications Media Development Authority,Ministry of Communications and Information ,Communication and Information
International Enterprise Singapore,Ministry of Trade and Industry ,Trade and Industry
Jurong Town Corporation,Ministry of Trade and Industry ,Trade and Industry
Nanyang Technological University,Ministry of Education ,Institute of Higher Learning
