<<<<<<< HEAD
tender_no.,agency,tender_description,award_date,tender_detail_status,supplier_name,awarded_amt,additional_info,building_name,building_no,expiry_date,grade,postal_code,street_name,tel_no,uen_no,unit_no,workhead
AVA000ETT16000020,Agri-food and Veterinary Authority,"Tender for three-year preventive maintenance, annual MOM inspection and PM kits for ten (10) units of Getinge brand steam sterilizers (recessed units) and one (1) unit of Belimed brand steam sterilizer (recessed unit)(where 2nd and 3rd year are optional)",2017-01-13,Awarded to Suppliers,GETINGE SINGAPORE PTE. LTD.,229905.0,na,CYBERHUB BUILDING,20,1/1/2018,L3,339914,BENDEMEER ROAD,63967298,200416493N,#06-04,SY08
HLTHQ0ETT15000041,Ministry of Health-Ministry Headquarter,"NOMINATED SUB-CONTRACT TENDER FOR SUPPLY AND INSTALLATION OF CENTRAL STERILE SERVICES DEPARTMENT WORKS FOR PROPOSED DEVELOPMENT OF AN INTEGRATED REGIONAL HOSPITAL, A COMMUNITY HOSPITAL AND SPECIALIST OUTPATIENT CLINICS ON LOT 02019N PT & LOT 02466A PT MK21 AT SENGKANG EAST WAY / SENGKANG EAST ROAD / ANCHORVALE STREET (SENGKANG PLANNING AREA), SINGAPORE",2015-09-28,Awarded to Suppliers,GETINGE SINGAPORE PTE. LTD.,5717700.0,na,CYBERHUB BUILDING,20,1/1/2018,L3,339914,BENDEMEER ROAD,63967298,200416493N,#06-04,SY08
AVA000ETT16000021,Agri-food and Veterinary Authority,Tender for the site clearance works at Lim Chu Kang,2016-11-11,Awarded to Suppliers,PENG CHUAN ENGINEERING CONSTRUCTION PTE. LTD.,252000.0,na,TAGORE 8,421,1/1/2020,B2,787805,TAGORE INDUSTRIAL AVENUE,68583477,200304394R,#04-06,CW02
JTC000ETT16000145,Jurong Town Corporation,"Proposed Demolition of Existing Factory Buildings and Ancillary Structures at 18, 18B, 18C, 20, 22, 24 & 26 Kranji Loop and 12 Jurong Port Road Singapore",2016-12-02,Awarded to Suppliers,PENG CHUAN ENGINEERING CONSTRUCTION PTE. LTD.,147000.0,na,TAGORE 8,421,1/1/2020,B2,787805,TAGORE INDUSTRIAL AVENUE,68583477,200304394R,#04-06,CW02
LTA000ETT14000216,Land Transport Authority,Roadworks at Choa Chu Kang Avenue 4 between Choa Chu Kang Loop and Choa Chu Kang Drive,2015-05-05,Awarded to Suppliers,PENG CHUAN ENGINEERING CONSTRUCTION PTE. LTD.,1670000.0,na,TAGORE 8,421,1/1/2020,B2,787805,TAGORE INDUSTRIAL AVENUE,68583477,200304394R,#04-06,CW02
AVA000ETT16000035,Agri-food and Veterinary Authority,Tender for the Maintenance of Customer Service Counter System (CSCS),2017-01-13,Awarded to Suppliers,ATT SYSTEMS (S'PORE) PTE LTD,313493.76,na,na,35,1/7/2017,L1,408585,UBI CRESCENT,67497840,199407919N,na,ME02
CPF000ETT15000014,Central Provident Fund Board,Tender for Nominated Sub-Contract and Five (5) Years Comprehensive Maintenance Contract for CCTV and Card Access Security System,2015-09-03,Awarded to Suppliers,ATT SYSTEMS (S'PORE) PTE LTD,553000.0,na,na,35,1/7/2017,L1,408585,UBI CRESCENT,67497840,199407919N,na,ME02
CPF000ETT15000019,Central Provident Fund Board,Tender for the Installation and Maintenance of Integrated Voice and Video Recording System,2015-11-12,Awarded to Suppliers,ATT SYSTEMS (S'PORE) PTE LTD,306600.0,na,na,35,1/7/2017,L1,408585,UBI CRESCENT,67497840,199407919N,na,ME02
CPF000ETT16000028,Central Provident Fund Board,"Development, Implementation and Maintenance of Queue Management System",2016-10-21,Awarded to Suppliers,ATT SYSTEMS (S'PORE) PTE LTD,736594.0,na,na,35,1/7/2017,L1,408585,UBI CRESCENT,67497840,199407919N,na,ME02
HDB000ETT15000159,Housing and Development Board,"Supply, Delivery, Installation And Maintenance Of CCTV And Electronic Door Access System At Gourmet East Kitchen And Tampines Industrial Park A",2016-01-06,Awarded to Suppliers,ATT SYSTEMS (S'PORE) PTE LTD,1180000.0,na,na,35,1/7/2017,L1,408585,UBI CRESCENT,67497840,199407919N,na,ME02
HDB000ETT16000004,Housing and Development Board,Term Contract For Maintenance Of Signalised Pedestrian Crossings (SPC) In HDB Estates For The Period From 1 Apr 2016 To 31 Mar 2019,2016-03-02,Awarded to Suppliers,ATT SYSTEMS (S'PORE) PTE LTD,435.0,na,na,35,1/7/2017,L1,408585,UBI CRESCENT,67497840,199407919N,na,ME02
HLTHQ0ETT16000041,Ministry of Health-Ministry Headquarter,THE SUPPLY AND INSTALLATION OF DOOR ACCESS SYSTEM FOR THE MINISTRY OF HEALTH,2016-11-10,Awarded to Suppliers,ATT SYSTEMS (S'PORE) PTE LTD,134660.0,na,na,35,1/7/2017,L1,408585,UBI CRESCENT,67497840,199407919N,na,ME02
HOMHQ0ETT14000395,Ministry of Home Affairs-Ministry Headquarter,Comprehensive Maintenance Of Electronic Signange System At ICA Tuas Checkpoint and ICA Woodlands Checkpoint For A PEriod Of Five (5) Years with Option to Extend for Another Five (5) Years,2015-02-17,Awarded to Suppliers,ATT SYSTEMS (S'PORE) PTE LTD,3891084.0,na,na,35,1/7/2017,L1,408585,UBI CRESCENT,67497840,199407919N,na,ME02
HOMHQ0ETT14000418,Ministry of Home Affairs-Ministry Headquarter,Upgrading of LED Display System to LCD Display System At Arrival and Departure Clearance Booths At Tuas Checkpoint with optional comprehensive maintenance,2015-08-19,Awarded to Suppliers,ATT SYSTEMS (S'PORE) PTE LTD,584608.0,na,na,35,1/7/2017,L1,408585,UBI CRESCENT,67497840,199407919N,na,ME02
HOMHQ0ETT14000504,Ministry of Home Affairs-Ministry Headquarter,Comprehensive Maintenance of Additional Surveillance Cameras at ICA Tuas & Woodlands Checkpoint For A Period of Three (3) Years with an Option to Extend for another Two (2) Years,2015-04-06,Awarded to Suppliers,ATT SYSTEMS (S'PORE) PTE LTD,281112.0,na,na,35,1/7/2017,L1,408585,UBI CRESCENT,67497840,199407919N,na,ME02
HOMHQ0ETT15000256,Ministry of Home Affairs-Ministry Headquarter,Comprehensive maintenance of Traffic Monitoring System (TMS) at ICA Woodlands and Old Woodlands Checkpoint for a period of 3.5 years,2016-02-10,Awarded to Suppliers,ATT SYSTEMS (S'PORE) PTE LTD,49626.0,na,na,35,1/7/2017,L1,408585,UBI CRESCENT,67497840,199407919N,na,ME02
HOMHQ0ETT15000289,Ministry of Home Affairs-Ministry Headquarter,"SUPPLY, DESIGN, DEVELOPMENT, DELIVERY, INSTALLATION, TRAINING, TESTING, COMMISSIONING AND MAINTENANCE OF NEW TURNSTILE GATES WITH BIOMETRIC READER",2016-05-30,Awarded to Suppliers,ATT SYSTEMS (S'PORE) PTE LTD,426420.0,na,na,35,1/7/2017,L1,408585,UBI CRESCENT,67497840,199407919N,na,ME02
HOMHQ0ETT16000003,Ministry of Home Affairs-Ministry Headquarter,Supply and Installation of Visit Management System III with an option for maintenance,2016-06-03,Awarded to Suppliers,ATT SYSTEMS (S'PORE) PTE LTD,4070438.0,na,na,35,1/7/2017,L1,408585,UBI CRESCENT,67497840,199407919N,na,ME02
HOMHQ0ETT16000109,Ministry of Home Affairs-Ministry Headquarter,UPGRADING OF SECURITY SYSTEMS,2016-10-28,Awarded to Suppliers,ATT SYSTEMS (S'PORE) PTE LTD,120000.0,na,na,35,1/7/2017,L1,408585,UBI CRESCENT,67497840,199407919N,na,ME02
HOMHQ0ETT16000198,Ministry of Home Affairs-Ministry Headquarter,COMPREHENSIVE MAINTENANCE INCLUDING REPLACEMENT AND ADDITIONS AND ALTERATIONS WORKS FOR SECURITY SYSTEMS AT ICA PROPERTIES,2017-02-06,Awarded to Suppliers,ATT SYSTEMS (S'PORE) PTE LTD,1374993.0,na,na,35,1/7/2017,L1,408585,UBI CRESCENT,67497840,199407919N,na,ME02
HOMHQ0ETT16000223,Ministry of Home Affairs-Ministry Headquarter,TERM CONTRACT FOR COMPREHENSIVE MAINTENANCE OF TRAFFIC MONITORING SYSTEM FOR A BASE PERIOD OF THREE (3) YEARS WITH OPTION TO EXTEND ANOTHER THREE (3) YEARS,2016-09-23,Awarded to Suppliers,ATT SYSTEMS (S'PORE) PTE LTD,945844.0,na,na,35,1/7/2017,L1,408585,UBI CRESCENT,67497840,199407919N,na,ME02
HOMHQ0ETT16000224,Ministry of Home Affairs-Ministry Headquarter,"FOR THE SUPPLY, DELIVERY, INSTALLATION, TESTING, COMMISSIONING OF A FULLY OPERATIONAL BUS INFORMATION DISPLAY SYSTEM AT TUAS CHECKPOINT WITH AN OPTION FOR MAINTENANCE",2017-02-10,Awarded to Suppliers,ATT SYSTEMS (S'PORE) PTE LTD,372352.32,na,na,35,1/7/2017,L1,408585,UBI CRESCENT,67497840,199407919N,na,ME02
HOMHQ0ETT16000293,Ministry of Home Affairs-Ministry Headquarter,"DEVELOPMENT, SUPPLY, AND COMMISSIONING OF TRANSPORT DRIVER SYSTEM WITH 2 YEARS OF COMPREHENSIVE MAINTENANCE AND OPTIONS FOR ANOTHER 3 YEARS OF COMPREHENSIVE MAINTENANCE",2017-06-14,Awarded to Suppliers,ATT SYSTEMS (S'PORE) PTE LTD,1165881.2,na,na,35,1/7/2017,L1,408585,UBI CRESCENT,67497840,199407919N,na,ME02
HOMHQ0ETT17000071,Ministry of Home Affairs-Ministry Headquarter,"Supply, Installation and 3 Years maintenance of Video Wall Systems",2017-09-25,Awarded to Suppliers,ATT SYSTEMS (S'PORE) PTE LTD,2900600.0,na,na,35,1/7/2017,L1,408585,UBI CRESCENT,67497840,199407919N,na,ME02
HOMHQ0ETT17000109,Ministry of Home Affairs-Ministry Headquarter,2+2 YEARS PERIOD CONTRACT FOR COMPREHENSIVE MAINTENANCE OF CCTV SYSTEM AT SINGAPORE CIVIL DEFENCE FORCE PREMISES,2017-12-06,Awarded to Suppliers,ATT SYSTEMS (S'PORE) PTE LTD,610040.0,na,na,35,1/7/2017,L1,408585,UBI CRESCENT,67497840,199407919N,na,ME02
IRA000ETT15000006,Inland Revenue Authority of Singapore,"SUPPLY, DELIVERY, INSTALLATION, TESTING, COMMISSIONING AND MAINTENANCE OF A QUEUE MANAGEMENT SYSTEM",2015-07-22,Awarded to Suppliers,ATT SYSTEMS (S'PORE) PTE LTD,173740.0,na,na,35,1/7/2017,L1,408585,UBI CRESCENT,67497840,199407919N,na,ME02
LTA000ETT15000104,Land Transport Authority,Expansion of Closed-Circuit Television Enforcement Camera System for Illegal Parking (North-West),2015-11-05,Awarded to Suppliers,ATT SYSTEMS (S'PORE) PTE LTD,6118855.0,na,na,35,1/7/2017,L1,408585,UBI CRESCENT,67497840,199407919N,na,ME02
LTA000ETT15000299,Land Transport Authority,Beacon System for Autonomous Vehicle Trials,2016-06-02,Awarded to Suppliers,ATT SYSTEMS (S'PORE) PTE LTD,1041539.0,na,na,35,1/7/2017,L1,408585,UBI CRESCENT,67497840,199407919N,na,ME02
LTA000ETT17300072,Land Transport Authority,Fence Intrusion Detection System at Mandai Depot,2017-11-02,Awarded to Suppliers,ATT SYSTEMS (S'PORE) PTE LTD,816680.0,na,na,35,1/7/2017,L1,408585,UBI CRESCENT,67497840,199407919N,na,ME02
MAS000ETT15000015,Monetary Authority of Singapore,"INVITATION TO TENDER FOR (I) SUPPLY, DELIVERY, INSTALLATION, TESTING AND COMMISSIONING OF AN INTERNET PROTOCOL BASED CCTV SYSTEM AND AN ITD SYSTEM, WITH A 4-YEAR COMPREHENSIVE MAINTENANCE, AND (II) OPTION FOR AN ADDITIONAL 4-YEAR COMPREHENSIVE MAINTENANCE FOR THE CCTV SYSTEM AND ITD SYSTEM",2015-09-01,Awarded to Suppliers,ATT SYSTEMS (S'PORE) PTE LTD,528164.0,na,na,35,1/7/2017,L1,408585,UBI CRESCENT,67497840,199407919N,na,ME02
NEA000ETT16000039,National Environment Agency,MAINTENANCE SERVICE FOR A NETWORK OF AUTOMATED WEATHER STATIONS,2016-07-22,Awarded to Suppliers,ATT SYSTEMS (S'PORE) PTE LTD,1492080.0,na,na,35,1/7/2017,L1,408585,UBI CRESCENT,67497840,199407919N,na,ME02
NHB000ETT14000015,National Heritage Board,"FOR THE SUPPLY, DELIVERY, INSTALLATION, TESTING, COMMISSIONING OF A FULLY OPERATIONAL VISITOR COUNTING SYSTEM (VCS) WITH AN OPTION FOR MAINTENANCE SERVICES",2015-01-12,Awarded to Suppliers,ATT SYSTEMS (S'PORE) PTE LTD,486540.0,na,na,35,1/7/2017,L1,408585,UBI CRESCENT,67497840,199407919N,na,ME02
SPO000ETT16000015,Singapore Polytechnic,"CI15/0119 Design, supply, install, test, commission and maintenance of an integrated security and environment monitoring system",2016-06-02,Awarded to Suppliers,ATT SYSTEMS (S'PORE) PTE LTD,515000.0,na,na,35,1/7/2017,L1,408585,UBI CRESCENT,67497840,199407919N,na,ME02
AVA000ETT16000040,Agri-food and Veterinary Authority,"Tender for design, development and installation of online water monitoring system",2017-03-28,Awarded to Suppliers,CIPP PTE. LTD.,137980.0,na,PARC ROSEWOOD,91,1/10/2019,L1,737793,ROSEWOOD DRIVE,97842928,201616706H,#05-99,CR07
AVA000ETT17000002,Agri-food and Veterinary Authority,Tender for the provision of comprehensive servicing and maintenance of gas detection system for a period of 3 years (where 3rd year is optional),2017-05-31,Awarded to Suppliers,AURIC PACIFIC ENGINEERING PTE LTD,473360.0,na,VERTEX,33,1/4/2018,L1,408868,UBI AVENUE 3,67434960,199400374N,#07-52,ME01
NPO000ETT15000071,Ngee Ann Polytechnic,(GRF:LSCT/15/0069; Tender: NP/LSCT/27/15) Purchase of General Laboratory Equipment,2015-11-24,Awarded to Suppliers,AURIC PACIFIC ENGINEERING PTE LTD,3650.0,na,VERTEX,33,1/4/2018,L1,408868,UBI AVENUE 3,67434960,199400374N,#07-52,ME01
NTU000ETT16000123,Nanyang Technological University,Installation of New Toxic Gas Supplies and Recommission of Existing Inert & Flammable Gas Supplies to the School of Mechanical & Aerospace Engineering (MAE),2016-09-09,Awarded to Suppliers,AURIC PACIFIC ENGINEERING PTE LTD,265200.0,na,VERTEX,33,1/4/2018,L1,408868,UBI AVENUE 3,67434960,199400374N,#07-52,ME01
AVA000ETT17000016,Agri-food and Veterinary Authority,Tender for Provision of Cleaning Services at AVA's Centres,2017-08-29,Awarded to Suppliers,CSP MAINTENANCE PTE LTD,1723800.0,na,WCEGA PLAZA,1,1/10/2018,L6,658064,BUKIT BATOK CRESCENT,65700138,199400236K,#08-24,MW02
CITHQ0ETT17000022,Ministry of Transport - Ministry Headquarter,Pantry and Housekeeping Services for Ministry of Transport,2017-06-06,Awarded to Suppliers,CSP MAINTENANCE PTE LTD,84960.0,na,WCEGA PLAZA,1,1/10/2018,L6,658064,BUKIT BATOK CRESCENT,65700138,199400236K,#08-24,MW02
INDAVIETT17000002,Assumption Pathway School,Provision to supply Cleaning Services at Assumption Pathway School from 01-06-2017 to 31-05-2018 with option to extend one year. (Please refer to attached specifications and annexes).,2017-06-02,Awarded to Suppliers,CSP MAINTENANCE PTE LTD,454000.0,na,WCEGA PLAZA,1,1/10/2018,L6,658064,BUKIT BATOK CRESCENT,65700138,199400236K,#08-24,MW02
JTC000ETT15000095,Jurong Town Corporation,"1-Year Term Contract for Conservancy, Cleaning and Refuse Removal Works to JTC Properties",2015-10-26,Awarded to Suppliers,CSP MAINTENANCE PTE LTD,1460091.04,na,WCEGA PLAZA,1,1/10/2018,L6,658064,BUKIT BATOK CRESCENT,65700138,199400236K,#08-24,MW02
MOE000ETT17000047,Ministry of Education,Term Contract For The Provision Of Cleaning Services To Sites For A Period Of Forty-Eight (48) Months,2017-08-24,Awarded to Suppliers,CSP MAINTENANCE PTE LTD,53414400.0,na,WCEGA PLAZA,1,1/10/2018,L6,658064,BUKIT BATOK CRESCENT,65700138,199400236K,#08-24,MW02
MPA000ETT15000032,Maritime and Port Authority of Singapore,One-Year Term Contract For The Provision Of Cleaning Services At Various MPA Premises From 1 Sep 2015 To 31 Aug 2016 With An Option To Extend For Another Year At The Authority's Discretion,2015-08-31,Awarded to Suppliers,CSP MAINTENANCE PTE LTD,558400.0,na,WCEGA PLAZA,1,1/10/2018,L6,658064,BUKIT BATOK CRESCENT,65700138,199400236K,#08-24,MW02
NEA000ETT16000086,National Environment Agency,"(l) Daily Conservancy of Mandai Columbarium, Mount Vernon Complex and Yishun Columbarium (ll) Conservancy of Mandai Columbarium, Mount Vernon Complex and Yishun Columbarium during Special Festivals",2016-09-22,Awarded to Suppliers,CSP MAINTENANCE PTE LTD,2201220.0,na,WCEGA PLAZA,1,1/10/2018,L6,658064,BUKIT BATOK CRESCENT,65700138,199400236K,#08-24,MW02
NEA000ETT17300031,National Environment Agency,(l) Daily Conservancy of Choa Chu Kang Columbarium and Choa Chu Kang Crematorium (ll) Conservancy of Choa Chu Kang Cemeteries and Choa Chu Kang Columbarium during Special Festivals,2017-11-28,Awarded to Suppliers,CSP MAINTENANCE PTE LTD,3117600.0,na,WCEGA PLAZA,1,1/10/2018,L6,658064,BUKIT BATOK CRESCENT,65700138,199400236K,#08-24,MW02
NUSDEPETT17000047,National University of Singapore,"SUPPLY AND DELIVERY OF DAILY CLEANING AT ZONE 1, NATIONAL UNIVERSITY OF SINGAPORE (NUS) FOR 24 MONTHS WITH AN OPTION TO CONTINUE FOR A FURTHER 24 MONTHS",2017-07-03,Awarded to Suppliers,CSP MAINTENANCE PTE LTD,4549720.0,na,WCEGA PLAZA,1,1/10/2018,L6,658064,BUKIT BATOK CRESCENT,65700138,199400236K,#08-24,MW02
NUSHS_ETT16900001,NUS HIGH SCHOOL OF MATHEMATICS AND SCIENCE,SUPPLY OF HOUSEKEEPING SERVICES FOR NUS HIGH SCHOOL MAIN CAMPUS & BOARDING SCHOOL,2016-04-11,Awarded to Suppliers,CSP MAINTENANCE PTE LTD,1435200.0,na,WCEGA PLAZA,1,1/10/2018,L6,658064,BUKIT BATOK CRESCENT,65700138,199400236K,#08-24,MW02
PAS000ETT17000048,People's Association,You are invited by the Peoples Association (PA) to tender for the provision of cleaning services at National Community Leadership Institute (NACLI) West Coast and East Coast Campus for a base period of Fifteen (15) Months with an option to extend for another Six (6),2017-04-24,Awarded to Suppliers,CSP MAINTENANCE PTE LTD,1089810.0,na,WCEGA PLAZA,1,1/10/2018,L6,658064,BUKIT BATOK CRESCENT,65700138,199400236K,#08-24,MW02
PAS000ETT17000085,People's Association,Term Contract for the Provision of Cleaning Services to Heartbeat @ Bedok for a period of Two (2) Years with an option to extend for another Two (2) Years,2017-07-11,Awarded to Suppliers,CSP MAINTENANCE PTE LTD,2726240.0,na,WCEGA PLAZA,1,1/10/2018,L6,658064,BUKIT BATOK CRESCENT,65700138,199400236K,#08-24,MW02
PMOCPIETT15000006,Prime Minister's Office-Corrupt Practices Investigation Bureau,"TERM CONTRACT FOR THE PROVISION OF CLEANING, PEST CONTROL AND HORTICULTURAL SERVICES FOR CORRUPT PRACTICES INVESTIGATION BUREAU(CPIB) FOR A PERIOD OF TWO (2) YEARS WITH AN OPTION TO EXTEND FOR ANOTHER TWO (2) YEARS",2016-01-29,Awarded to Suppliers,CSP MAINTENANCE PTE LTD,962160.0,na,WCEGA PLAZA,1,1/10/2018,L6,658064,BUKIT BATOK CRESCENT,65700138,199400236K,#08-24,MW02
SPC000ETT17000042,Singapore Sports Council,PROVISION OF CLEANING SERVICES TO SPORT SINGAPORE FOR A PERIOD OF ONE (1) YEAR WITH AN OPTION TO EXTEND FOR ANOTHER ONE (1) YEAR,2017-09-13,Awarded to Suppliers,CSP MAINTENANCE PTE LTD,2161200.0,na,WCEGA PLAZA,1,1/10/2018,L6,658064,BUKIT BATOK CRESCENT,65700138,199400236K,#08-24,MW02
AVA000ETT17000019,Agri-food and Veterinary Authority,Tender for two-year period contract for the supply of dog and cat food,2017-12-21,Awarded to Suppliers,PREMIER ENGINEERING & TRADING PTE. LTD.,99822.0,na,na,605B,1/7/2018,L1,368241,MACPHERSON ROAD,67587332,200706932M,#03-12,ME11
DEF000ETT17000171,Ministry of Defence,Supply of Collapsible Traffic Safety Cones,2017-10-19,Awarded to Suppliers,PREMIER ENGINEERING & TRADING PTE. LTD.,48600.0,na,na,605B,1/7/2018,L1,368241,MACPHERSON ROAD,67587332,200706932M,#03-12,ME11
NYP000ETT15000030,Nanyang Polytechnic,Term Contract for the Supply and Delivery of Kitchen Supplies,2015-08-06,Awarded to Suppliers,PREMIER ENGINEERING & TRADING PTE. LTD.,38460.0,na,na,605B,1/7/2018,L1,368241,MACPHERSON ROAD,67587332,200706932M,#03-12,ME11
SPO000ETT15000072,Singapore Polytechnic,"CM15/0015 - Production, delivery and packing of premiums for distribution to the secondary school for outreach purpose.",2015-06-23,Awarded to Suppliers,PREMIER ENGINEERING & TRADING PTE. LTD.,42090.0,na,na,605B,1/7/2018,L1,368241,MACPHERSON ROAD,67587332,200706932M,#03-12,ME11
AVA000ETT17000023,Agri-food and Veterinary Authority,Tender for provision of Landscape Maintenance Services,2017-10-10,Awarded to Suppliers,TTK SERVICES PTE. LTD.,981957.6,na,na,703,1/9/2019,L2,640703,JURONG WEST STREET 71,64651622,201011351R,#06-106,MW02
MPA000ETT16000026,Maritime and Port Authority of Singapore,"Renovation Works At Marina South Pier To Provide (A) Signages, (B) Incorporate Heritage Murals Or (C) Landscaping Works",2016-09-08,Awarded to Suppliers,TTK SERVICES PTE. LTD.,65800.0,na,na,703,1/9/2019,L2,640703,JURONG WEST STREET 71,64651622,201011351R,#06-106,MW02
PAS000ETT17000019,People's Association,TERM CONTRACT FOR PROVISION OF HORTICULTURE & LANDSCAPING SERVICES TO COMMUNITY CLUBS AND OTHER PEOPLE'S ASSOCIATION'S PROPERTIES IN SOUTHWEST COMMUNITY DEVELOPMENT DIVISION FOR A PERIOD OF TWO YEARS WITH AN OPTION TO EXTEND FOR ANOTHER TWO YEARS,2017-06-13,Awarded to Suppliers,TTK SERVICES PTE. LTD.,913180.0,na,na,703,1/9/2019,L2,640703,JURONG WEST STREET 71,64651622,201011351R,#06-106,MW02
PUB000ETT16000054,Public Utilities Board,Horticultural and Miscellaneous Works at PUB Installations,2016-07-28,Awarded to Suppliers,TTK SERVICES PTE. LTD.,2002540.0,na,na,703,1/9/2019,L2,640703,JURONG WEST STREET 71,64651622,201011351R,#06-106,MW02
AVA000ETT17000032,Agri-food and Veterinary Authority,Tender for Appointment of a managing agent for an AVA Facility at Sungei Tengah for a period of three (3) years with third year optional,2017-11-23,Awarded to Suppliers,GUTHRIE FMC PTE. LTD.,2366156.0,na,GUTHRIE ENGINEERING BUILDING,6,1/6/2017,L5,389932,ALJUNIED AVENUE 3,67451556,199002325Z,#04-00,MW02
HDB000ETT16000198,Housing and Development Board,Part A: Appointment Of Managing Agent For Sand And Granite Storage Sites (Batch 2); Part B: Contingency Works,2016-09-16,Awarded to Suppliers,GUTHRIE FMC PTE. LTD.,341917.5,na,GUTHRIE ENGINEERING BUILDING,6,1/6/2017,L5,389932,ALJUNIED AVENUE 3,67451556,199002325Z,#04-00,MW02
JTC000ETT16000030,Jurong Town Corporation,Appointment of Facilities Management Companies for JTC Industrial Estates,2016-06-23,Awarded to Suppliers,GUTHRIE FMC PTE. LTD.,8806430.0,na,GUTHRIE ENGINEERING BUILDING,6,1/6/2017,L5,389932,ALJUNIED AVENUE 3,67451556,199002325Z,#04-00,MW02
JTC000ETT16000032,Jurong Town Corporation,"Appointment of Facilities Management Company for Jurong Island Checkpoint, Pier 20 and Oasis@Sakra for a Period of 3 years",2016-06-23,Awarded to Suppliers,GUTHRIE FMC PTE. LTD.,4590420.0,na,GUTHRIE ENGINEERING BUILDING,6,1/6/2017,L5,389932,ALJUNIED AVENUE 3,67451556,199002325Z,#04-00,MW02
NPO000ETT15000085,Ngee Ann Polytechnic,"(Tender: NP/EM/68T/15, GRF: EM/15/0076) Tender For Term Contract For Management Of Staff Apartments And Other NP Properties For Ngee Ann Polytechnic",2015-10-30,Awarded to Suppliers,GUTHRIE FMC PTE. LTD.,762000.0,na,GUTHRIE ENGINEERING BUILDING,6,1/6/2017,L5,389932,ALJUNIED AVENUE 3,67451556,199002325Z,#04-00,MW02
PUB000ETT15000313,Public Utilities Board,Cleaning Services for PUB Installations,2016-03-28,Awarded to Suppliers,GUTHRIE FMC PTE. LTD.,2997748.0,na,GUTHRIE ENGINEERING BUILDING,6,1/6/2017,L5,389932,ALJUNIED AVENUE 3,67451556,199002325Z,#04-00,MW02
WDA000ETT17000001,Workforce Singapore,Invitation to Tender for Facility Management Services,2017-08-03,Awarded to Suppliers,GUTHRIE FMC PTE. LTD.,937260.0,na,GUTHRIE ENGINEERING BUILDING,6,1/6/2017,L5,389932,ALJUNIED AVENUE 3,67451556,199002325Z,#04-00,MW02
BCA000ETT14000041,Building and Construction Authority,"Nominated Sub-Contract For The Design, Supply, Delivery, Install And Testing & Commissioning Of Rotating Platform For The Proposed BCA User Test Bed Facility",2015-03-03,Awarded to Suppliers,BHL CONSTRUCTION PTE. LTD.,1032000.0,na,UBI TECHPARK,10,1/8/2017,C3,408564,UBI CRESCENT,91731345,200910728D,#07-37,CW01
BCA000ETT14000053,Building and Construction Authority,"Build, Operate and Manitain Contract for the Proposed BCA User Test Bed Facility and Acclimatization Lounge at the Rooft Level of an 8 Storey Building on LOT 14256T MK18 at BCA Academy, 200 Braddell Road (Bishan Planning Area)",2015-03-02,Awarded to Suppliers,SANYO ENGINEERING & CONSTRUCTION INC.,4551700.0,na,SINGAPORE POOLS BUILDING,210,1/7/2017,L5,188994,MIDDLE ROAD,62533322,S75FC2446F,#05-02,ME01
CPF000ETT16000031,Central Provident Fund Board,Maintenance of Air-Conditioning System and Chillers at all CPFB Buildings,2016-09-26,Awarded to Suppliers,SANYO ENGINEERING & CONSTRUCTION INC.,583100.0,na,SINGAPORE POOLS BUILDING,210,1/7/2017,L5,188994,MIDDLE ROAD,62533322,S75FC2446F,#05-02,ME01
PUB000ETT16000094,Public Utilities Board,Maintenance of Air Conditioners at various Installations of PUB,2016-07-27,Awarded to Suppliers,SANYO ENGINEERING & CONSTRUCTION INC.,735000.0,na,SINGAPORE POOLS BUILDING,210,1/7/2017,L5,188994,MIDDLE ROAD,62533322,S75FC2446F,#05-02,ME01
PUB000ETT16000156,Public Utilities Board,"Servicing, Maintenance and Installation Works of Low Voltage Electrical Equipment at Various Installations of PUB",2016-11-08,Awarded to Suppliers,SANYO ENGINEERING & CONSTRUCTION INC.,5274500.0,na,SINGAPORE POOLS BUILDING,210,1/7/2017,L5,188994,MIDDLE ROAD,62533322,S75FC2446F,#05-02,ME01
PUB000ETT16000178,Public Utilities Board,Servicing and Maintenance of Greasy Waste Treatment Plant at Jurong Water Reclamation Plant,2016-09-22,Awarded to Suppliers,SANYO ENGINEERING & CONSTRUCTION INC.,2030000.0,na,SINGAPORE POOLS BUILDING,210,1/7/2017,L5,188994,MIDDLE ROAD,62533322,S75FC2446F,#05-02,ME01
PUB000ETT16000224,Public Utilities Board,Servicing and Support for Jurong Industrial Water Supply System,2016-11-29,Awarded to Suppliers,SANYO ENGINEERING & CONSTRUCTION INC.,2046000.0,na,SINGAPORE POOLS BUILDING,210,1/7/2017,L5,188994,MIDDLE ROAD,62533322,S75FC2446F,#05-02,ME01
